2021-07-01 11:48:12.0830 Info - SupportBank.Program: Parsing CSV
2021-07-01 11:48:12.1107 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/01/2014, From: Jon A, To: Sarah T, Narrative: Pokemon Training, Amount: 7.8
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 04/01/2014, From: Stephen S, To: Tim L, Narrative: Lunch, Amount: 4.37
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 08/01/2014, From: Laura B, To: Stephen S, Narrative: Lunch, Amount: 5.09
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 11/01/2014, From: Rob S, To: Ben B, Narrative: Misc Morale, Amount: 7.8
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/01/2014, From: Stephen S, To: Ben B, Narrative: Beers, Amount: 7.36
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 15/01/2014, From: Sam N, To: Stephen S, Narrative: Spline Reticulation, Amount: 11.63
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 19/01/2014, From: Stephen S, To: Gergana I, Narrative: Beers, Amount: 5.88
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 20/01/2014, From: Sam N, To: Stephen S, Narrative: Beers, Amount: 8.2
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 24/01/2014, From: Laura B, To: Sam N, Narrative: Coffee, Amount: 11.68
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 28/01/2014, From: Todd, To: Ben B, Narrative: Coffee, Amount: 6.81
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 31/01/2014, From: Sam N, To: Gergana I, Narrative: Services Rendered, Amount: 6.29
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/02/2014, From: Todd, To: Ben B, Narrative: Snooker Night, Amount: 6.87
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 04/02/2014, From: Chris W, To: Ben B, Narrative: Spline Reticulation, Amount: 6.03
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 05/02/2014, From: Todd, To: Rob S, Narrative: Sandbox Help, Amount: 5.62
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 07/02/2014, From: Jon A, To: Sam N, Narrative: Beers, Amount: 1.65
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 10/02/2014, From: Dan W, To: Sam N, Narrative: Lunch, Amount: 0.93
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/02/2014, From: Laura B, To: Stephen S, Narrative: Snooker Night, Amount: 10.78
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 15/02/2014, From: Stephen S, To: Gergana I, Narrative: Rails Consultancy, Amount: 6.91
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 18/02/2014, From: Sarah T, To: Sam N, Narrative: Spline Reticulation, Amount: 1.6
2021-07-01 11:48:12.1142 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 22/02/2014, From: Tim L, To: Sam N, Narrative: Pokemon Training, Amount: 5.2
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 25/02/2014, From: Todd, To: Rob S, Narrative: Automated Testing Services, Amount: 7.1
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 27/02/2014, From: Ben B, To: Rob S, Narrative: Snooker Night, Amount: 8.41
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/03/2014, From: Stephen S, To: Jon A, Narrative: Coffee, Amount: 8.75
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 03/03/2014, From: Sam N, To: Gergana I, Narrative: Lunch, Amount: 8.76
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 07/03/2014, From: Todd, To: Laura B, Narrative: Pokemon Training, Amount: 9.39
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 10/03/2014, From: Todd, To: Gergana I, Narrative: Sandbox Help, Amount: 1.62
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/03/2014, From: Sarah T, To: Ben B, Narrative: Spline Reticulation, Amount: 2.1
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 17/03/2014, From: Sarah T, To: Stephen S, Narrative: Beers, Amount: 0.66
